date,site,obs_n,visit_group,species_ves,n,n_visit,season,area_sqr_m,air_temp_c,j_date
2023-03-31,tryon_weber,obs_1,1,desmognathus_fuscus,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,desmongnathus_sp,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,eurycea_bislineata,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,hyla_versicolor,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,notophthalmus_viridescens,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,plethodon_cinereus,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,plethodon_glutinosus,1,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,pseudotriton_ruber,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,rana_catesbeiana,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,rana_clamitans,0,visit_1,spring,100,21,90
2023-03-31,tryon_weber,obs_1,1,rana_sylvatica,0,visit_1,spring,100,21,90
2023-04-05,phelps_pond,obs_1,1,desmognathus_fuscus,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,desmongnathus_sp,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,eurycea_bislineata,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,hyla_versicolor,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,notophthalmus_viridescens,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,plethodon_cinereus,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,plethodon_glutinosus,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,pseudotriton_ruber,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,rana_catesbeiana,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,rana_clamitans,0,visit_1,spring,2799,19.4,95
2023-04-05,phelps_pond,obs_1,1,rana_sylvatica,0,visit_1,spring,2799,19.4,95
2023-04-20,admin_pond,obs_1,1,desmognathus_fuscus,0,visit_1,spring,43665,24.3,110
2023-04-20,admin_pond,obs_1,1,desmongnathus_sp,0,visit_1,spring,43665,24.3,110
2023-04-20,admin_pond,obs_1,1,eurycea_bislineata,0,visit_1,spring,43665,24.3,110
2023-04-20,admin_pond,obs_1,1,hyla_versicolor,0,visit_1,spring,43665,24.3,110
2023-04-20,admin_pond,obs_1,1,notophthalmus_viridescens,0,visit_1,spring,43665,24.3,110
